"Year","Location","Name","ICU Rating","FIDE rating","Title","Score",,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"Dublin","Ann Delaney",1825,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Richard O Donovan",2116,"na","na","na",,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Tom Clarke",2120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Colm Daly",2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Mark Quinn",2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Stephen Brady",2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Mark Heidenfeld",2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Mel O Cinneide",2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Gerry O Connell",2162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","John Hurley",2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Daire McMahon",2164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Andrew Smith",2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Joe Ryan",2237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Conor O Shaughnessy",2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Eamon Keogh",2048,,,"NM",,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Anthony Fox",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Richard O Brien",2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Cormac Brady",1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Alan Muntadas",1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Ray O Rourke",1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Peter Cafolla",1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Michael Welsh",2046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Martin Crichton",1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Liam Porter",1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Peter Cafolla",1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"Dublin","Bernard Palmer",1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Joe Ryan",2285,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Stephen Brady",2320,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Colm Daly",2309,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Daire McMahon",2139,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Gerry O Connell",2151,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Eamon Keogh",2015,,,"NM",4.5,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Anthony Fox",2064,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Richard O Donovan ",2132,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Liam Porter",1949,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Peter Cafolla",1959,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Danny Roberts",1905,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Sean O Kearney",,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","John Joyce",2108,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Tom Clarke",2086,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Paul Dempsey",1991,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Cormac Brady",1879,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","David Salter",1898,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"Dublin","Ray O Rourke",1847,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Colm Daly",2295,2295,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Mark Heidenfeld",2288,2335,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Mel O Cinneide",2228,2285,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Anthony Fox",2022,2115,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Mark Quinn",2308,2350,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Gerard O Connell",2174,2180,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Tom Clarke",2075,2195,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Danielle Collins",1923,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Brian Fitzpatrick",1984,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Ray O Rourke",1963,2095,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Stephen Scannell",2133,2095,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Michael Dooley",1882,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Colm Fitzpatrick",1859,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Richard O Donovan",2134,2195,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Cormac Brady",1852,2065,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Adam Kelly",1910,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Liam Porter",1949,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Peter Cafolla",2048,2110,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","John Kennedy",1848,2080,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"Dublin","Danny Roberts",1877,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick","Mark Heidenfeld",2334,2328,"IM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick","Sam Collins",2186,2130,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick","Philip Short",2197,2295,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick","Gavin Wall",2300,2352,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick","Daire McMahon",2117,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick","Tom Clarke",2155,2196,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick","Colm Daly",2327,2377,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick ","Paul Walsh",1852,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick ","Anthony Fox",2057,2103,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick","Pat McMahon",1738,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick","Eamon Keogh",2095,2167,"NM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"Limerick","David Path",1720,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Joe Ryan",2316,2294,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Gawain Jones",2453,2453,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Philip Short",2298,2298,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Gordon Freeman",1956,2066,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Stephen Jessel",2065,2238,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","John Joyce",2235,2271,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Karl McPhillips",2099,2172,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Mark Orr",2273,2338,"IM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Stephen Brady",2365,2365,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Josef Mudrak",2353,2353,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Allen Beveridge",2138,2138,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Edmund Soh",2068,2068,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Paul Wallace",2211,2171,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Paul Walsh",1991,2052,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Anthony Fox",2059,2123,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Tom Healy",1889,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Eamon Keogh",1938,2123,"NM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Rory Quinn",1868,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Kevin White",2045,2045,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
